"OrderId","Word","TagH1","TagH2","TagH3","TagH4","TagH5","TagH6","TagA","Link","NoFollowLink","TagArea","TagHidden","TagImg","TagButton","TagMetaDescription","TagMetaKeywords","TagTitle","TagSmall","TagStrike","TagSub","TagSup","TagB","TagBig","TagEm","TagI","TagStrong","TagU","TagOption","Lang","Country","DomailId","HostId","PunctuationMarkBefore","PunctuationMarkAfter","FirstLetterUppercase","AllInUpperCase","TagDel","TagDfn","TagIns","TagMark","TagOptgroup"
"47","MailingsHome","0","0","0","0","0","0","1","https://www.ipower.be/nl/hosting.aspx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","-","0","1","0","0","0","0","0","0"
"48","Welkom bij @iPower","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","!","1","0","0","0","0","0","0"
"49","Dit","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"50","is","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"51","de","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"52","website","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","-","0","0","0","0","0","0","0","0"
"53","van","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"54","@iPower","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0",".","0","0","0","0","0","0","0"
"55","Voor","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"56","ons","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"57","virtuele","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"58","uitstalraam","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0",":","0","0","0","0","0","0","0"
"59","www.ipower.euhostingdomeinnamen","0","0","0","0","0","0","1","http://www.ipower.eu/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"60","Intussen","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"61","heeft","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"62","@iPower","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"63","zijn","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"64","dienstverlening","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"65","uitgebreid","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"66","met","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"67","zoekmachineoptimalisatiedatabaseservicee-marketing","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1",",","0","0","0","0","0","0","0","0"
"68","Bent","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"69","u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"70","een","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"71","trouwe","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"72","hosting","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","-","0","0","0","0","0","0","0"
"73","of","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"74","domeinnaamklant","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"75","van","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"76","@iPower?","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"77","Dan","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"78","vindt","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"79","u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"80","op","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"81","deze","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"82","website","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"83","ongetwijfeld","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"84","precies","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"85","wat","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"86","u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"87","zoekt.","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"88","Is","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"89","dit","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"90","uw","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"91","eerste","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"92","kennismaking","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"93","met","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"94","@iPower","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"95","?","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"96","Dan","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"97","is","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"98","deze","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"99","website","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"100","voor","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"101","u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"102","mogelijk","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"103","wat","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"104","te","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"105","technisch","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0",",","0","0","0","0","0","0","0"
"106","met","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"107","te","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"108","veel","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"109","informatie","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"110","waar","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"111","u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"112","niet","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"113","dadelijk","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
